 backfillable_rule_rows | affected_card_ids | affected_normalized_names | unsafe_missing_hash_rows |  source_counts
------------------------+-------------------+---------------------------+--------------------------+-----------------
                     55 |                54 |                        55 |                        0 | {"curated": 55}
(1 row)

                card_name                |             normalized_name             |               card_id                |                logical_rule_key                 | review_status | execution_status | source  | rule_version |            effect            |                   battle_model_scope                   |                     db_card_name                      |              oracle_id               |       computed_oracle_hash       | oracle_text_length
 Reanimate                               | reanimate                               | a3c3d616-b19e-4f86-8034-654eb1811b1e | battle_rule_v1:853d724485700fc5e29a050e9f5856a4 | active        | auto             | curated |            1 | recursion                    | single_creature_graveyard_to_battlefield_v1            | Reanimate                                             | a044474a-cd72-4e9d-bd8d-a08f2de9cdc0 | 5936b4653734cd7087eb67229b4efbc3 |                129
 Runaway Steam-Kin                       | runaway steam-kin                       | dbf6f43f-ee78-4f73-9eff-f0e86628c4c1 | battle_rule_v1:955e0141660dfdc8b31aaf15056693aa | verified      | auto             | curated |            1 | creature                     | creature_counter_engine_unexecuted_v1                  | Runaway Steam-Kin                                     | eb414a8f-566f-4635-80a1-77b2e18ac8dc | abe8e79d26d363a82e68a55e6c19c0b3 |                191
 Sami's Curiosity                        | sami's curiosity                        | b164352a-a931-409a-9fca-5570a6cc1a0c | battle_rule_v1:b25c35d72e00a057dc20945c38059d0e | verified      | auto             | curated |            1 | lander_token_maker           | gain_life_make_lander_token_v1                         | Sami's Curiosity                                      | 5f532b7f-cb76-4be7-b361-0106c561dcb2 | d88d3c9d7319f3ce78f286614392ffbf |                190
 Scavenging Ooze                         | scavenging ooze                         | 20a0fc7c-5e9a-446b-b636-ae5f955ad39a | battle_rule_v1:c6c94f94c02d497596c4f1b1cd05a9bd | active        | auto             | curated |            1 | creature                     | graveyard_hate_creature_activation_unexecuted_v1       | Scavenging Ooze                                       | 1ff25f67-36a7-4cfa-a2b1-2135b5b6fb67 | 072765012c562c0dd7e6c1965a77fa17 |                125
 Scroll Rack                             | scroll rack                             | 166c82b2-f988-4073-9cf4-73a0bf4645a6 | battle_rule_v1:3b58ff16a7eb52fb05c1bd8517225cd2 | active        | auto             | curated |            2 | topdeck_manipulation         | scroll_rack_upkeep_single_exchange_v1                  | Scroll Rack                                           | 648bd03d-247e-4d6f-87a9-12a67688cbf5 | 8133928f03d5a5a77f2beecfcbd09e30 |                206
 Seething Song                           | seething song                           | b8b37250-ca47-4dcc-a6d9-1675febf2587 | battle_rule_v1:3eb15dc581c6b913158f9b63c023f3d7 | verified      | auto             | curated |            2 | ramp_ritual                  | single_shot_red_ritual_v1                              | Seething Song                                         | 64bf8929-f5f2-4d50-8667-13b1d007bcfc | ccd492289c6f1c14c8fb7a248d7bbf32 |                 20
 Silence                                 | silence                                 | 6eac5767-386d-4c9e-a7e1-926e43e32e83 | battle_rule_v1:74b210b77b004a677906e0216d44e445 | verified      | auto             | curated |            2 | silence_spell                | silence_until_eot_v1                                   | Silence                                               | 8aed54cb-d1bb-45ad-adbe-38e55d84ff31 | a0ca3c09a7db091c435ab31adb9c1780 |                 43
 Skullclamp                              | skullclamp                              | 53f9ed4b-c7f3-42c6-a751-4b79287f4a0a | battle_rule_v1:f996204e0cd900b700b6bf7defb607a6 | active        | auto             | curated |            1 | passive                      | equipment_stat_mod_draw_on_death_partial_v1            | Skullclamp                                            | 65986c1b-8e51-4604-b685-d82fa7d1263a | 01408ac2502c74e39791c1779ab33833 |                 88
 Soul-Guide Lantern                      | soul-guide lantern                      | f636fb2e-16cb-4807-ad94-463be361a61a | battle_rule_v1:3454aa122d10a4abd906132eb7745339 | verified      | auto             | curated |            1 | hate_artifact                | graveyard_hate_cantrip_artifact_v1                     | Soul-Guide Lantern                                    | 1b5e6560-ff2e-4475-96cb-63f64c8a86db | 6a9e4cf9a4397715ccd0737e1b8cf270 |                173
 Splendid Reclamation                    | splendid reclamation                    | 1fd6f391-9e65-4bb0-8bb1-548360bed90b | battle_rule_v1:323e4e2c6e95da761c1614e4dff44778 | verified      | auto             | curated |            1 | land_recursion               | graveyard_lands_to_battlefield_tapped_v1               | Splendid Reclamation                                  | 13fe5e46-77a6-45d8-ac0b-c3d740eccf86 | 81249444bdb32006d5e687858df04b9a |                 68
 Staff of Compleation                    | staff of compleation                    | e0ac5a9b-f026-4b6a-a98e-b334be6d133b | battle_rule_v1:d464d25de43eb912c79baea1cee783e5 | active        | auto             | curated |            1 | ramp_permanent               | multi_mode_life_payment_utility_artifact_partial_v1    | Staff of Compleation                                  | 11c7662f-e688-40a6-98fd-6ae89d231b44 | 6b66f4e89a1a484d4fd15b2acc365603 |                180
 Sunbaked Canyon                         | sunbaked canyon                         | 4acbecf1-fa0e-4d2f-9d87-5d91b1fd8ef5 | battle_rule_v1:07c97c73f65d524510e30b6bbfca0b61 | active        | auto             | curated |            1 | land                         | pain_cycle_sac_draw_land_v1                            | Sunbaked Canyon                                       | f97fd068-b83a-4621-bf8c-cc96e880ce90 | eae946655b75e4666adfbdb760bee0ff |                 76
 Talisman of Conviction                  | talisman of conviction                  | 6a6b4572-5c96-4405-a480-45344904b697 | battle_rule_v1:02133e513da5ea98ac74d32d39b16470 | active        | auto             | curated |            2 | ramp_permanent               | pain_talisman_color_pair_partial_v1                    | Talisman of Conviction                                | 6c326439-5620-4ec6-a56a-fe9c3d5d2a46 | d49ceec937367a344a9f0948eea4f8f2 |                 71
 Unexpected Windfall                     | unexpected windfall                     | 08112727-89cc-4af8-aff1-1435ffc40098 | battle_rule_v1:f9f98ea1925518eea7a7c94c21ef2dc4 | verified      | auto             | curated |            2 | treasure_maker               | discard_draw_create_treasures_v1                       | Unexpected Windfall                                   | 498c10c9-253d-4b15-b48c-1509381b17e8 | 9c4fbe06104051a2e8b1d295d307b26a |                185
 Urza's Saga                             | urza's saga                             | 55761b91-117b-4861-ba85-5ac377ab09df | battle_rule_v1:b62b6dfa5cdc9db4b8b21faf7bfc0498 | active        | auto             | curated |            1 | land                         | saga_land_token_then_tutor_partial_v1                  | Urza's Saga                                           | 4c6a0c30-b547-4eff-8ff4-0ca25803c076 | 43e3b1636425f22bbd834442ddb93bc0 |                391
 Valakut Awakening                       | valakut awakening                       | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | battle_rule_v1:245b8d2627720fadfd7a30464d07605a | verified      | auto             | curated |            2 | hand_filter                  | bottom_then_draw_plus_one_v1                           | Valakut Awakening // Valakut Stoneforge               | ff0ab867-b710-4b1a-baed-95fc3cf68f79 | 22b42fcc181b7aed71f78b2e1e51e887 |                105
 Valakut Awakening // Valakut Stoneforge | valakut awakening // valakut stoneforge | 75a73cfc-e7a7-4280-9fac-f3b1810d26fd | battle_rule_v1:6e1f3b876822abafe1de47610f46858d | verified      | auto             | curated |            2 | hand_filter                  | bottom_then_draw_plus_one_mdfc_land_v1                 | Valakut Awakening // Valakut Stoneforge               | ff0ab867-b710-4b1a-baed-95fc3cf68f79 | 22b42fcc181b7aed71f78b2e1e51e887 |                105
 Vexing Bauble                           | vexing bauble                           | 11288e9b-9c75-41c4-a6c3-736e28687134 | battle_rule_v1:6a85170698c85498bf618c0c0283a770 | verified      | auto             | curated |            1 | hate_artifact                | free_spell_hate_artifact_v1                            | Vexing Bauble                                         | 4514777d-0589-4631-978b-ff244167c176 | 020e696ec9560830bb82bf0244595d69 |                133
 Wall of Omens                           | wall of omens                           | 6363223d-a83d-43af-9064-9c5918d832c2 | battle_rule_v1:ee84dfe5a22708bf0b0ef435699ed7a4 | verified      | auto             | curated |            1 | creature                     | etb_cantrip_creature_v1                                | Wall of Omens                                         | 5f601f48-d24b-4883-9fde-b3f620e7c9ea | 755be179e545f27507f78b6a79a34485 |                 48
 War Room                                | war room                                | 9d65f34d-bc5e-4979-8f58-2b52f7496d6c | battle_rule_v1:9cdb33ac0e813c0a25d960b65dbc7417 | active        | auto             | curated |            1 | land                         | colorless_life_paid_draw_land_v1                       | War Room                                              | 71c52bf5-2a5d-488e-8b15-7ef290e4b77d | d9c250570bb91d94ceae9fcd74081ef5 |                111
 Wayfarer's Bauble                       | wayfarer's bauble                       | b393933f-6ebf-4cf9-bbdc-58bdbb654a66 | battle_rule_v1:97eb0d5868d1c777b74aa7d35fc85eab | active        | auto             | curated |            2 | ramp_permanent               | self_sacrifice_basic_land_tutor_artifact_v1            | Wayfarer's Bauble                                     | 31f15274-301b-47c5-ba19-0ced04520878 | f11935fa793ae03d95ae75d62cdfa516 |                134
 Worldfire                               | worldfire                               | 69693acc-2fe5-4627-82d7-b17a5574f65c | battle_rule_v1:1b9bb9bfd6774cc55d21e50009efa9f3 | verified      | auto             | curated |            1 | worldfire_reset              | worldfire_total_reset_v1                               | Worldfire                                             | ae0b8c13-0a71-4a60-bf9f-6e2da9503e9c | dfb75aa49416e7e281ad8e5cdcf721fa |                104
 Zuran Orb                               | zuran orb                               | 2254e7f1-becd-4819-a6e6-3f7cf9170314 | battle_rule_v1:d977323f1ef9834d148ef87dc519ba37 | verified      | auto             | curated |            1 | life_artifact                | sacrifice_land_gain_life_artifact_v1                   | Zuran Orb                                             | 08cb8a30-9cb4-4517-bee5-8848aa60d1a2 | 5fef1974ee8b02952ac5612ea66c5c33 |                 34
(55 rows)
