Edicao (PTBR),Edicao (EN),Edicao (Sigla),Card (PT),Card (EN),Quantidade,Qualidade,Idioma,Raridade,Cor,Extras,Card #,Comentario
"Retorno de Avacyn","Avacyn Restored",avr,Terminus,Terminus,1,,,R,W,,38,
"Rivais de Ixalan","Rivals of Ixalan",rix,"Pilhagem do Pirata","Pirate's Pillage",1,,,U,R,,109,
"Rivais de Ixalan","Rivals of Ixalan",rix,"Recompensa de Bronze","Brass's Bounty",1,,,R,R,,94,
"Ruas de Nova Capenna","Streets of New Capenna",snc,"Bombardeio Arcano","Arcane Bombardment",1,,,M,R,,101,
"Ruas de Nova Capenna","Streets of New Capenna",snc,"Sorte Grande","Big Score",1,,,C,R,,102,
,"Secret Lair Drop Series: Secret Lair x Sonic: Friends & Foes",sld306,,"Knuckles the Echidna",1,,,M,R,,2082,
,"Secret Lair Drop Series: Secret Lair x Tomb Raider",sld205,,"Croft Manor // Command Tower",1,,,R,L,,792,
,"Secrets of Strixhaven",sos,,"Aziza, Mage Tower Captain",1,,,R,M,,174,
,"Secrets of Strixhaven",sos,,"Blazing Firesinger // Seething Song",1,,,U,R,,109,
,"Secrets of Strixhaven",sos,,Erode,1,,,R,W,,15,
,"Secrets of Strixhaven",sos,,Flashback,1,,,R,R,,115,
,"Secrets of Strixhaven",sos,,"Improvisation Capstone",1,,,M,R,,120,
,"Secrets of Strixhaven",sos,,"Lorehold Charm",1,,,U,M,,200,
,"Secrets of Strixhaven",sos,,"Primary Research",1,,,U,W,,26,
,"Secrets of Strixhaven",sos,,"Restoration Seminar",1,,,M,W,,30,
,"Secrets of Strixhaven",sos,,"Tablet of Discovery",1,,,U,R,,132,
,"Secrets of Strixhaven",sos,,"The Dawning Archaic",1,,,M,C,,1,
,"Secrets of Strixhaven",sos,,"Zealous Lorecaster",1,,,C,R,,137,
,"Secrets of Strixhaven (Borderless)",blsos,,"Lorehold, the Historian",1,NM,PTEN,M,M,Foil,284,
,"Secrets of Strixhaven Commander",soc,,"Furygale Flocking",1,,,R,R,,32,
,"Secrets of Strixhaven Commander",soc,,"Naktamun Lorespinner // Wheel of Fortune",1,,,R,R,,33,
"Sexta Edicao Classica","Classic Sixth Edition",6e,Jokulhaups,Jokulhaups,1,,,R,R,,192,
,"Shadows over Innistrad: Remastered",sir,"Foliao do Caos","Bedlam Reveler",1,,,R,R,,143,
"Strixhaven: Escola de Magos","Strixhaven: School of Mages",stx,"Arcaico Errante","Wandering Archaic",1,,,R,C,,6,
"Strixhaven: Escola de Magos","Strixhaven: School of Mages",stx,"Assistente do Biblioplexo","Biblioplex Assistant",1,,,C,C,,251,
"Strixhaven: Escola de Magos","Strixhaven: School of Mages",stx,"Velomaco Sapioforte","Velomachus Lorehold",1,,,M,M,,245,
"Strixhaven: Escola de Magos (Variantes)","Strixhaven (Variants)",cbstx,"Pergaminista Radiante","Radiant Scrollwielder",1,,,R,M,,350,
,"Tarkir: Dragonstorm",tdm,,"Voice of Victory",1,,,R,W,,33,
,"Tarkir: Dragonstorm Commander",tdc,,"Caldera Pyremaw",1,,,R,R,,33,
,"Teenage Mutant Ninja Turtles",tmt,,"Cool but Rude",1,,,R,R,,89,
Tempestade,Tempest,tp,"Armario de Pergaminhos","Scroll Rack",1,,,R,C,,252,
Tempestade,Tempest,tp,"Ornato de Rubi","Ruby Medallion",1,,,R,C,,239,
Tempestade,Tempest,tp,"Petala de Lotus","Lotus Petal",1,,,C,C,,159,
Tempestade,Tempest,tp,"Tumba Antiga","Ancient Tomb",1,,,U,L,,7,
"Terras Selvagens de Eldraine","Wilds of Eldraine",woe,"Duelista do Fogo Interior // Talho do Fogo Interior","Heartflame Duelist // Heartflame Slash",1,,,R,W,,228,
,"The Dark",dk,"A Pedra Fellwar","Fellwar Stone",1,,,U,C,,36,
,"The List",plist,"Artista da Fornalha Tempestuosa","Storm-Kiln Artist",1,,,U,R,,1398,
,"The List",plist,"Canalizadora da Ira do Dragao","Dragon's Rage Channeler",1,,,U,R,,761,
,"The List",plist,"Dragao da Ponte Dourada","Goldspan Dragon",1,,,M,R,,770,
,"The List",plist,"Sentinela de Esper","Esper Sentinel",1,,,R,W,,1378,
Theros,Theros,ths,"Templo do Triunfo","Temple of Triumph",1,,,R,L,,228,
,"Time Spiral Timeshifted",tsts,"Tempestade de Dragoes",Dragonstorm,1,,,S,R,,60,
"Trono de Eldraine","Throne of Eldraine",eld,"Frisson das Possibilidades","Thrill of Possibility",1,,,C,R,,146,
"Trono de Eldraine","Throne of Eldraine",eld,"Sinete Arcano","Arcane Signet",1,,,C,C,,331,
,"Ultimate Masters",uma,"Transacao Aleatoria",Gamble,1,,,R,R,,132,
"Viagem para Nyx","Journey into Nyx",jou,"Gemeo Incandescente",Twinflame,1,,,R,R,,115,
Visoes,Visions,vi,"Elmo do Despertar","Helm of Awakening",1,,,U,C,,56,
